STATION,DATE,REPORT_TYPE,SOURCE,AWND,BackupElements,BackupElevation,BackupEquipment,BackupLatitude,BackupLongitude,BackupName,CDSD,CLDD,DSNW,HDSD,HTDD,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDegreeDays,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowfall,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyMinimumTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyTotalLiquidPrecipitation,NormalsHeatingDegreeDay,WindEquipmentChangeDate
72518014735,2015-11-30T23:59:00,SOM  ,6,7.4,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",879,0,0,1101,583,7,4,11,0,0,0,5.8,0,-176,7.8,3.9,-1.54,0.96,10-Nov,0,T,30.79,26,951,55.7,45.5,29.44,13,409,35.4,30.18,29.86,1.75,759,08-09-2006
72518014735,2015-12-31T23:59:00,SOM  ,6,7.6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",879,0,1,1819,718,13,9,10,0,0,0,13.3,0,-413,13.5,13.1,0.74,1.02,28-29,2,1.3,30.71,5,1104,49.3,41.8,29.33,15,51,34.3,30.08,29.78,3.67,1131,08-09-2006
72518014735,2016-01-31T23:59:00,SOM  ,6,8.7,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",0,0,1,2971,1152,7,2,28,0,0,12,5.1,0,-164,5.4,5,-1.35,0.87,10-Oct,1,1.1,30.71,5,1055,36,27.7,29.2,10,1551,19.5,29.99,29.66,1.24,1316,08-09-2006
72518014735,2016-02-29T23:59:00,SOM  ,6,9.4,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",0,0,3,3966,995,10,6,25,0,3,7,4.7,0,-98,6,3.3,1.87,2.32,24-25,2,1.5,30.61,19,751,40.6,30.6,29.15,25,952,20.6,30,29.67,4.07,1093,08-09-2006
72518014735,2016-03-31T23:59:00,SOM  ,6,9.4,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",0,0,0,4655,689,9,4,15,0,0,1,7.7,0,-240,8.5,6.8,-2.03,0.36,28-28,0,0.2,30.41,12,220,52.9,42.7,29.36,2,451,32.5,30.02,29.7,1.18,929,08-09-2006
72518014735,2016-04-30T23:59:00,SOM  ,6,8.3,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",2,2,2,5228,573,9,4,11,0,0,1,-1.8,-2,53,-1.1,-2.6,-1.33,0.58,07-Aug,4,4.3,30.52,16,814,57.2,46,29.24,7,1501,34.7,30.03,29.71,1.84,520,08-09-2006
72518014735,2016-05-31T23:59:00,SOM  ,6,6.9,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",73,71,0,5471,243,10,7,0,1,0,0,1.2,45,8,0.8,1.6,-1.18,0.61,30-30,0,0,30.27,20,1051,70.2,59.5,29.53,14,1741,48.7,29.96,29.64,2.43,235,08-09-2006
72518014735,2016-06-30T23:59:00,SOM  ,6,8.1,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",210,137,0,5512,41,6,4,0,3,0,0,1,19,-11,2,0,-1.48,1.29,05-May,0,0,30.3,19,851,79.9,68.2,29.44,7,1420,56.5,29.91,29.59,2.31,52,08-09-2006
72518014735,2016-07-31T23:59:00,SOM  ,6,6.7,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",489,278,0,0,0,14,7,0,7,0,0,2.2,60,-5,2.6,1.7,2.32,2.55,31-31,0,T,30.25,20,802,84.9,74,29.71,7,1551,63.1,29.94,29.63,6.44,5,08-09-2006
72518014735,2016-08-31T23:59:00,SOM  ,6,6.3,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",765,277,0,1,1,11,7,0,4,0,0,3.8,100,-17,3.6,3.8,0.48,1.32,01-Feb,0,0,30.32,23,924,84,73.9,29.68,6,1549,63.7,30.02,29.72,3.94,18,08-09-2006
72518014735,2016-09-30T23:59:00,SOM  ,6,5.4,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",868,103,0,70,69,9,6,0,0,0,0,4.2,52,-75,5.4,3,-1.12,1.02,18-19,0,0,30.46,30,841,77.6,66.1,29.75,11,515,54.6,30.11,29.78,2.18,144,08-09-2006
72518014735,2016-10-31T23:59:00,SOM  ,6,6.9,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",873,6,1,466,395,11,4,3,0,0,0,2.7,2,-83,2,3.4,-0.78,1.22,21-22,1,1.7,30.5,26,2251,61.8,52.4,29.42,22,1322,43,30.1,29.79,2.9,478,08-09-2006
72518014735,2016-11-30T23:59:00,SOM  ,6,6.7,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",873,0,0,1172,706,10,6,19,0,0,0,1.7,0,-53,2.7,0.7,-0.19,1.64,15-16,0,0.6,30.53,7,1015,50.6,41.4,29.36,20,1430,32.2,30.04,29.7,3.1,759,08-09-2006
72518014735,2016-12-31T23:59:00,SOM  ,6,8.7,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",873,0,5,2244,1071,14,7,26,0,0,6,1.8,0,-60,1.9,1.8,-1.18,0.47,17-18,3,2.4,30.81,19,1006,37.7,30.3,29.43,30,251,23,30.08,29.75,1.75,1131,08-09-2006
72518014735,2017-01-31T23:59:00,SOM  ,6,8.1,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",0,0,2,3309,1065,13,6,22,0,0,8,8,0,-251,6.5,9.5,0.54,1.4,23-24,1,1.7,30.73,14,411,37.1,30.6,29.29,26,1351,24,30.01,29.67,3.13,1316,08-09-2006
72518014735,2017-02-28T23:59:00,SOM  ,6,9.4,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",0,0,4,4194,885,9,4,24,0,0,5,7.4,0,-208,8.1,6.6,0.65,0.71,25-25,11,11.2,30.41,21,151,42.7,33.3,29.34,15,1414,23.9,29.93,29.61,2.85,1093,08-09-2006
72518014735,2017-03-31T23:59:00,SOM  ,6,10.5,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",0,0,2,5223,1030,12,6,23,0,0,8,-3.3,0,101,-3.8,-2.9,0.86,1.58,14-14,15,17,30.74,5,928,40.6,31.7,29.28,1,2318,22.8,30.12,29.82,4.07,929,08-09-2006
72518014735,2017-04-30T23:59:00,SOM  ,6,8.5,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",20,20,0,5602,379,16,7,2,0,0,0,5.2,16,-141,5,5.4,-0.29,0.95,04-Apr,0,0.2,30.48,19,46,63.3,53,29.15,6,2351,42.7,30.01,29.69,2.88,520,08-09-2006
72518014735,2017-05-31T23:59:00,SOM  ,6,7.8,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",47,27,0,5865,262,17,13,0,2,0,0,-0.9,1,27,-2.7,1,2.37,1.04,01-Feb,0,0,30.39,21,914,66.7,57.4,29.33,6,1151,48.1,29.89,29.57,5.98,235,08-09-2006
72518014735,2017-06-30T23:59:00,SOM  ,6,7.2,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",190,143,0,5919,54,14,10,0,3,0,0,0.8,25,2,0.4,1.1,1.33,1.52,04-May,0,T,30.11,29,714,78.3,68,29.52,24,254,57.6,29.9,29.59,5.12,52,08-09-2006
72518014735,2017-07-31T23:59:00,SOM  ,6,5.6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",401,211,0,3,3,12,8,0,0,0,0,-0.1,-7,-2,-1.1,0.9,-0.11,1.31,17-18,0,0,30.29,26,751,81.2,71.7,29.69,8,451,62.3,29.96,29.65,4.01,5,08-09-2006
72518014735,2017-08-31T23:59:00,SOM  ,6,5.6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",552,151,0,22,19,9,5,0,0,0,0,-0.9,-26,1,-1,-0.8,0.3,1.72,18-18,0,0,30.37,28,856,79.4,69.2,29.67,22,1912,59.1,30.02,29.7,3.76,18,08-09-2006
72518014735,2017-09-30T23:59:00,SOM  ,6,4.7,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",668,116,0,119,98,8,5,0,3,0,0,3.7,65,-46,4.4,3,-0.57,1.01,06-Jul,0,0,30.43,10,1019,76.6,65.6,29.66,5,1616,54.6,30.04,29.72,2.73,144,08-09-2006
72518014735,2017-10-31T23:59:00,SOM  ,6,6.9,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",685,17,0,360,241,11,5,1,0,0,0,8.1,13,-237,8.9,7.3,-0.88,1.06,29-29,0,0,30.63,3,951,68.7,57.8,28.82,30,51,46.9,30.07,29.76,2.8,478,08-09-2006
72518014735,2017-11-30T23:59:00,SOM  ,6,9.2,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",685,0,0,1134,774,10,4,16,0,0,0,-0.5,0,15,0.2,-1.3,-2.39,0.41,05-Jun,0,0,30.64,11,1029,48.1,39.2,29.1,19,651,30.2,30.11,29.78,0.9,759,08-09-2006
72518014735,2017-12-31T23:59:00,SOM  ,6,7.4,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",685,0,4,2376,1242,12,7,29,0,5,13,-3.6,0,111,-3.6,-3.7,-1,0.56,22-23,5,5.5,30.6,28,951,32.2,24.9,29.42,13,751,17.5,30.06,29.73,1.93,1131,08-09-2006
72518014735,2018-01-31T23:59:00,SOM  ,6,9.2,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",0,0,3,3666,1290,9,6,27,0,4,18,0.7,0,-26,1.1,0.3,-0.2,0.98,Dec-13,5,4.9,30.8,15,951,31.7,23.3,29.41,4,1851,14.8,30.17,29.83,2.39,1316,08-09-2006
72518014735,2018-02-28T23:59:00,SOM  ,6,9.2,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",0,0,4,4576,909,15,8,25,0,0,6,6.6,0,-184,7,6,0.88,0.67,07-Jul,7,6.2,30.89,13,951,41.6,32.5,29.58,16,51,23.3,30.21,29.88,3.08,1093,08-09-2006
72518014735,2018-03-31T23:59:00,SOM  ,6,10.1,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",0,0,4,5532,956,9,6,27,0,0,2,-0.9,0,27,-3.6,1.6,-0.15,1.08,02-Feb,14,11.9,30.76,26,1032,40.8,34.1,29.41,14,1644,27.3,29.95,29.63,3.06,929,08-09-2006
72518014735,2018-04-30T23:59:00,SOM  ,6,9.2,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",0,0,1,6248,716,17,11,17,0,0,0,-6.7,-4,196,-7.7,-5.7,1,1.32,15-16,1,1.3,30.51,23,751,50.6,41.1,29.33,4,1203,31.6,30,29.68,4.17,520,08-09-2006
72518014735,2018-05-31T23:59:00,SOM  ,6,6.9,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",65,65,0,6336,88,10,8,0,1,0,0,6,39,-147,6.1,5.9,-1.97,0.62,19-20,0,0,30.37,19,51,75.5,64.3,29.59,4,1851,53,30.02,29.71,1.64,235,08-09-2006
72518014735,2018-06-30T23:59:00,SOM  ,6,6.7,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",180,114,0,6363,27,10,7,0,3,0,0,0.7,-4,-25,1,0.4,-0.79,0.64,27-28,0,0,30.3,26,751,78.9,67.9,29.64,13,2000,56.9,29.93,29.62,3,52,08-09-2006
72518014735,2018-07-31T23:59:00,SOM  ,6,5.8,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",537,357,0,0,0,11,8,0,9,0,0,4.7,139,-5,5.1,4.3,0.6,1.75,27-28,0,0,30.38,8,851,87.4,76.5,29.75,17,1651,65.7,30.06,29.75,4.72,5,08-09-2006
72518014735,2018-08-31T23:59:00,SOM  ,6,5.8,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",852,314,0,0,0,16,10,0,4,0,0,5,137,-18,3.3,6.6,0.74,1.12,03-Apr,0,0,30.32,31,1049,83.7,75.1,29.67,22,1551,66.5,30,29.69,4.2,18,08-09-2006
72518014735,2018-09-30T23:59:00,SOM  ,6,5.4,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",1008,157,0,91,91,11,7,0,3,0,0,5.3,106,-53,3.3,7.3,2.32,2.43,17-18,0,0,30.56,24,2305,75.5,67.2,29.74,18,1651,58.9,30.18,29.86,5.62,144,08-09-2006
72518014735,2018-10-31T23:59:00,SOM  ,6,8.1,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",1026,18,0,550,459,11,6,6,0,0,0,1,14,-19,-1,3,0.09,1.13,02-Feb,0,T,30.47,8,1034,58.8,50.7,29.55,11,1855,42.6,30.03,29.7,3.77,478,08-09-2006
72518014735,2018-11-30T23:59:00,SOM  ,6,7.2,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",1026,0,4,1390,839,20,15,16,0,0,3,-2.7,0,80,-4.7,-0.7,2.3,1.09,02-Mar,4,3.2,30.65,23,311,43.2,37,29.34,28,544,30.8,30.06,29.73,5.59,759,08-09-2006
72518014735,2018-12-31T23:59:00,SOM  ,6,7.2,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",1026,0,1,2398,1008,12,7,26,0,0,4,3.9,0,-123,4.2,3.5,0.11,0.95,21-22,1,1.9,30.69,27,951,40,32.4,29.14,22,151,24.7,30.1,29.77,3.04,1131,08-09-2006
72518014735,2019-01-31T23:59:00,SOM  ,6,9.6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",0,0,3,3687,1288,12,8,31,0,4,16,0.7,0,-28,1.3,0.2,1.7,1.58,19-20,11,10.4,30.68,22,1116,31.9,23.3,29.36,24,1351,14.7,30.06,29.75,4.29,1316,08-09-2006
72518014735,2019-02-28T23:59:00,SOM  ,6,8.7,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",0,0,4,4731,1045,15,8,25,0,2,11,1.7,0,-48,0.8,2.5,0.48,0.89,Dec-13,6,4.8,30.71,10,27,35.4,27.6,29.25,24,1751,19.8,30.13,29.8,2.68,1093,08-09-2006
72518014735,2019-04-30T23:59:00,SOM  ,6,9.6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",2,2,1,6112,457,16,10,9,0,0,0,2,-2,-63,1.6,2.3,1.15,1.64,14-15,1,2.1,30.53,5,651,59.9,49.8,29.26,15,851,39.6,29.99,29.65,4.32,520,08-09-2006
72518014735,2019-05-31T23:59:00,SOM  ,6,7.6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",19,17,0,6330,218,18,10,0,0,0,0,0.2,-9,-17,-1.5,2,-0.53,0.63,13-14,0,0,30.5,1,703,67.9,58.5,29.63,31,203,49.1,29.96,29.67,3.08,235,08-09-2006
72518014735,2019-06-30T23:59:00,SOM  ,6,6.7,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",139,120,0,6360,30,16,9,0,1,0,0,0.8,2,-22,1,0.6,1.36,1.41,10-Nov,0,0,30.34,9,928,78.9,68,29.43,20,1809,57.1,29.91,29.59,5.15,52,08-09-2006
72518014735,2019-08-31T23:59:00,SOM  ,6,5.6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",694,209,0,2,2,12,10,0,0,0,0,1.6,32,-16,1.8,1.3,0.66,0.98,21-21,0,0,30.36,25,824,82.2,71.7,29.61,8,1451,61.2,29.97,29.65,4.12,18,08-09-2006
72518014735,2019-09-30T23:59:00,SOM  ,6,6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",738,43,0,81,79,8,4,0,0,0,0,1.9,-8,-65,3,0.8,-1.07,0.96,02-Feb,0,0,30.5,13,951,75.2,63.8,29.66,23,1815,52.4,30.1,29.78,2.23,144,08-09-2006
72518014735,2019-10-31T23:59:00,SOM  ,6,6.5,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",744,7,0,441,361,13,10,0,0,0,0,3.9,3,-117,2.9,4.8,3.8,3.23,16-17,0,0,30.51,5,951,62.7,53.6,29.1,17,954,44.4,30.08,29.76,7.48,478,08-09-2006
72518014735,2019-11-30T23:59:00,SOM  ,6,8.1,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",744,0,1,1288,847,10,6,19,0,0,1,-3,0,88,-3.2,-2.8,-0.47,1.07,18-19,1,1.5,30.6,16,1051,44.7,36.7,29.37,24,1351,28.7,30.07,29.74,2.82,759,08-09-2006
72518014735,2019-12-31T23:59:00,SOM  ,6,7.2,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",744,0,5,2376,1088,14,9,25,0,0,8,1.3,0,-43,1.1,1.5,1.61,1.56,01-Feb,18,13.3,30.73,12,1051,36.9,29.8,29.09,14,1751,22.7,30.06,29.73,4.54,1131,08-09-2006
72518014735,2020-01-31T23:59:00,SOM  ,6,8.1,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",0,0,2,3403,1027,8,5,24,0,0,6,9.2,0,-289,9.2,9.2,-0.58,0.92,25-26,3,3,30.78,9,1151,39.8,31.8,29.57,4,1451,23.7,30.1,29.77,2.01,1316,08-09-2006
72518014735,2020-02-29T23:59:00,SOM  ,6,7.6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",0,0,4,4372,968,10,7,25,0,0,4,5.6,0,-125,4.6,6.6,0.51,0.72,06-Jul,2,1.9,30.67,15,602,39.2,31.5,28.85,7,1251,23.9,30,29.68,2.71,1093,08-09-2006
72518014735,2020-03-31T23:59:00,SOM  ,6,8.7,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",0,0,1,5075,703,11,9,15,0,0,0,7.3,0,-226,7.4,7,-0.28,0.75,28-29,5,6.1,30.74,22,1151,51.8,42.3,29.35,3,2151,32.7,30.13,29.8,2.93,929,08-09-2006
72518014735,2020-04-30T23:59:00,SOM  ,6,9.8,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",0,0,0,5625,550,14,10,8,0,0,0,-1.2,-4,30,-2.2,-0.1,-0.05,0.72,26-27,0,0.5,30.24,17,728,56.1,46.6,29.14,9,1151,37.2,29.86,29.54,3.12,520,08-09-2006
72518014735,2020-05-31T23:59:00,SOM  ,6,9.4,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",74,74,0,5860,235,9,6,1,1,0,0,1.5,48,0,1.7,1.4,-2.09,0.39,29-30,0,0,30.47,20,851,71.1,59.8,29.59,3,1853,48.5,30.01,29.69,1.52,235,08-09-2006
72518014735,2020-06-30T23:59:00,SOM  ,6,6.5,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",285,211,0,5897,36,9,6,0,5,0,0,3.6,93,-16,4.8,2.4,-1.81,0.46,10-Nov,0,0,30.47,15,843,82.7,70.8,29.56,3,1551,58.9,29.97,29.65,1.98,52,08-09-2006
72518014735,2020-07-31T23:59:00,SOM  ,6,6.3,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",624,338,0,0,0,12,10,0,7,0,0,4.1,120,-5,4,4.1,-0.55,1.05,22-23,0,0,30.28,16,851,86.3,75.9,29.54,12,151,65.5,29.93,29.61,3.57,5,08-09-2006
72518014735,2020-08-31T23:59:00,SOM  ,6,5.4,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",768,144,0,27,27,11,5,0,0,0,0,-1.3,-33,9,-1.3,-1.4,2.61,3.92,04-Apr,0,0,30.21,7,851,79.1,68.8,29.37,29,1751,58.5,29.94,29.63,6.07,18,08-09-2006
72518014735,2020-09-30T23:59:00,SOM  ,6,6.9,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",790,22,0,207,180,6,5,2,0,0,0,-2.2,-29,36,-1.8,-2.5,-0.67,2,29-30,0,0,30.66,21,848,70.4,59.7,29.46,30,535,49.1,30.09,29.77,2.63,144,08-09-2006
72518014735,2020-10-31T23:59:00,SOM  ,6,6.5,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",790,0,1,706,499,13,6,4,0,0,0,-0.8,-4,21,-1.4,-0.1,-0.55,1.24,29-30,1,1.2,30.56,31,1051,58.4,48.9,29.52,7,1351,39.5,30.1,29.78,3.13,478,08-09-2006
72518014735,2020-11-30T23:59:00,SOM  ,6,7.6,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",790,0,0,1424,718,11,8,17,0,0,1,1.3,0,-41,3.3,-0.6,0.4,1.38,30-30,0,0,30.58,18,2351,51.2,41,29.35,30,2051,30.9,30.12,29.8,3.69,759,08-09-2006
72518014735,2020-12-31T23:59:00,SOM  ,6,8.7,PRECIP,260,PLASTIC,42.6918,-73.83109,"NWS ALBANY, NY",790,0,4,2510,1086,13,6,26,0,2,10,1.4,0,-45,1.4,1.4,0.77,2,16-17,19,19.7,30.55,30,259,37.2,29.9,29.34,25,1512,22.6,30,29.67,3.7,1131,08-09-2006
72518014735,2021-01-31T23:59:00,SOM  ,6,7.2,PRECIP,260,PLASTIC,42.6812,-73.8165,"NWS ALBANY, NY",0,0,5,3798,1288,10,6,31,0,3,20,0.7,0,-28,-1.3,2.8,-0.74,0.71,01-Feb,5,4,30.54,1,951,29.3,23.3,29.32,16,1451,17.3,30.01,29.67,1.85,1316,08-09-2006
72518014735,2021-02-28T23:59:00,SOM  ,6,7.6,PRECIP,260,PLASTIC,42.6812,-73.8165,"NWS ALBANY, NY",0,0,5,4950,1152,9,6,27,0,0,18,-2.2,0,59,-4.1,-0.4,-0.42,0.83,15-16,8,4.4,30.53,21,1144,30.5,23.7,29.46,3,544,16.9,30.1,29.77,1.78,1093,08-09-2006
